Position,Company,Location,Details
Solidity Engineer,Mintdropz,India,"Posted by
Sunny (Sanjay) Sharma
Empowering Sales Leaders Globally
Send InMail
Mintdropz is building the next generation of technology. We provide the biggest creators across Hollywood, Bollywood, YouTube, Gaming, E-Sports, Music ( Hip Hop - Pop), K- Pop, Cricket, and Formula 1 Racing to release Direct to consumer applications with paywalls, NFT’s, and even their own cryptocurrency!
Who We Are Looking For:

Experience with Solidity
Experience with Truffle + Ganache

What we’re looking for:

Enthusiasm
Motivation
Inspiration
Strategic thinking
Team Building Skills
What you’ll get:

Hands-on experience working on a cutting edge AI Platform
Celebrity Parties, Invites to events exclusively for Mintdropz Employees
Mentorship from innovative teammates
High energy team
A dynamic environment going beyond engineering"
Lead Machine Learning Engineer (Time-series),Taiyō.AI,India,"About Taiyō.AI

We empower the people who power the world.

Taiyō.AI is the fastest growing enterprise AI platform that helps some of the world’s large infrastructure companies proactively manage opportunities and threats in a dynamic world. We are building the largest universal and industry standard database of opportunities (tenders, projects, news) and threats (economy, climate, geopolitics, finance, logistics, etc..) for real assets. Taiyō.AI has been instrumental in shaping how infrastructure companies (infra investors, engineering, procurement and construction, and infra insurers) benchmark new project development opportunities, panoramic and dynamic view of external risks, predict prices and identify drivers, and mitigate supply-side disruptions.

About The Team
We are looking for the lead ML engineer to oversee data curation, model development, deployment, managing and monitoring the workflow for time-series predictive analysis.

Your Key Responsibilities
Developing and executing novel time-series machine learning and AI models.
Developing and executing novel unsupervised time-series based ML models and probabilistic models related to correlation, similarity, or pattern-causality.
Strong knowledge of ML pipeline workflow orchestration tools inclusind Airflow, Kubernetes, Argo, and related AWS, GCP cloud infrastructure.
Creative approaches to problem solving, building new or custom specification for Reinforcement Learning or Explainability (Shapley values).
Become an expert in product-centric and customer-centric requirements to implement analytical solutions at scale.
Creating dashboards based on business requirements. Present the findings to a wide group of stakeholders.
Distributed systems, Machine learning time series models, probability and statistics, Scale, cloud, Caching, CI/CD (Continuous integration and deployment), Distributed logging, Data pipeline, Recommendation Engine, Data at Rest Encryption

What To Bring
Post Graduate degree in Computer Science or Engineering.
1-3 years of Hands-on experience with time-series data and machine learning modeling techniques.
Strong knowledge of statistics, probability, and numeric analysis. Knowledge of economic domains is a plus.
Various neural network architecture, abreast of modeling innovations, Microservices, Django, Fast api, Docker, Gitlab CI, Grafana
Should be able to write complex models independently.
Minimum 1 year of experience in big data frameworks like Hadoop/Spark/Impala/Qubole.
Strong knowledge of programming languages like Python, Scala etc.
Ability to work independently and take ownership of things.
Analytical mindset and strong attention to detail.
Good verbal & written communication skills for coordinating across teams.

OUR VALUES
We care about our team.
We are customer obsessed.
We are audacious in vision and action.
We encourage honesty and open dialogue.
We respect everyone and every point of view.
We make objective and data-driven decisions.
We believe trust and accountability go hand-in-hand.
We invest in each other's growth.
We bring our A-game and nothing else.
We take charge and get it done.

THE PERKS
The glory. Almost too much responsibility.
No dress code. Unlimited leave. A focus on work - life balance
Work remotely. We believe people do their best work where they’re most comfortable.
A ticket on our rocket ship to the moon. :rocket:


Who We Are As a Company
We’re Taiyō. The go-to destination for large infrastructure companies for everything from project development, and evolving risks across domains macr or local economy, geopolitics, climate, consumer sentiment, trade, logistics and supply chains. Our mission is to revolutionize how infrastructure projects are selected and risks mitigated through data and AI-driven framework, and by building a global data platform that takes over the world wide web and the whole wide world."
Software Engineer,Velocis Software Solutions,"Ernakulam, Kerala, India","Posted by
Riju Michael
--
Send InMail
Smart and motivated candidates with a passion to succeed in Information Technology will be given preference
Responsibilities
Develop quality software and web applications
Analyze and maintain existing software applications
Expertise in server-side Java
Discover and fix programming bugs
Qualifications
M.Tech in Telecommunications / Computers, B.Tech in Computers
MCA,BCA,B.SC in Computers
Development experience with programming languages
SQL database or relational database skills"
Software Engieer - Python and Django,Gridlex,"Hyderabad, Telangana, India","Posted by
Margret KV 2nd
HR Recruiter / Generalist
Send InMail
Experience: 3-5 years
No. Of Positions: 3
Location: Hyderabad
Notice Period: Max 30Days

Job Description:

The Candidate should be an expert in Python Coding with Django / Flask
The candidate would have worked in a variety of areas like web development, crawling, parsing, API integration, data collection, analysis, visualization, etc.
As a company, we believe in the continuous iteration of our products. An ideal candidate must be willing to work in a fast-moving environment and not averse to failure.
We don't always do conventional things in conventional ways. So the candidate must be able to research when needed and think creatively.
Working knowledge of SQL
Working knowledge of various AWS services and Linux environment
Working knowledge of web development and understanding of front-end technologies like HTML, JavaScript, and CSS, and more.
Prior experience in the management of web servers, database servers, etc. is a huge plus."
Data & Applied Scientist,Microsoft,"Bengaluru, Karnataka, India","Microsoft's mission is to empower every person and every organization on the planet to achieve more and we believe that artificial intelligence will play a critical role in accomplishing that mission. The Core Search and AI team is the leading applied machine learning team at Microsoft responsible for delivering the highest-quality search experience to over 500M+ monthly active users around the world in Microsoft’s search engine, Bing and other dependent search engines such as Yahoo, DuckDuckGo, and new startups like Neeva.

We have seen little innovation in search in the last decade and we are looking for people who want to build the next generation of search using advanced AI technologies at scale. We are responsible for the largest machine learning models at Microsoft by volume and take pride in being the first in the world to solve many practical AI at Scale challenges. Our work spans a very large scope of scenarios including delivering high quality search results from a massive document corpus, extractive and abstractive summarization to generate document snippets, personalization, machine reading comprehension, and document recommendations.

As a team, we leverage the diverse backgrounds and experiences of passionate engineers, scientists, and program managers to help us realize our goal of making the world smarter and more productive. We believe great products are built by inclusive teams of customer-obsessed individuals who trust each other and work together closely. We collaborate regularly across the company both to find the technology breakthroughs from groups like Microsoft Research to infusing AI into the rest of Microsoft products like Office and Azure.

Some Examples Of Our Work Include
Developing a massive sparse neural network to improve search relevance (covered by SiliconAngle, Search Engine Land, Venture Beat)
Building the world’s most comprehensive spelling correction system through zero shot learning (covered by NextWeb, Venture Beat, and ZDNet)
Using transformer networks for search (covered in Search Engine Land and in State of AI 2020 report)
Deep learning based question answering and captions (covered in VentureBeat, Search Engine Land)
Launching our technology as a cloud service on Azure (a summary of the technologies we used)
If you are passionate about working on the latest and hottest areas that will help you develop skills in Artificial Intelligence, Machine Learning, data science and high scale systems, this is the team you’re looking for!

#semanticsearch#

Keywords: semanticsearch

Responsibilities
Apply machine learning algorithms to improve search and recommendation systems.
Work on the full lifecycle of machine learning development including training data collection, feature engineering, model training, offline and online experimentation.
Implement the state-of-the-art machine learning algorithms and apply to real production end to end.
Work with tech leads on challenging machine learning projects to deliver product quality improvements.
Qualifications

Required:
Bachelors, Masters or advanced degree in Computer Science or related field (including Mathematics and Physics)
Experience applying Machine Learning techniques
1+ years of experience coding in Python, C++, C#, C or Java
Preferred
MS or PhD computer science or related field.
Experience with machine learning frameworks such as TensorFlow or PyTorch
Experience building large scale cloud-based solutions.
Customer focused, strategic, drives for results, is self-motivated, and has a propensity for action.
Fantastic problem solver: ability to solve problems that the world has not solved before.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software Engineer,Buzzart software pvt LTD,"Bhopal, Madhya Pradesh, India","Posted by
Zara Qureshi
Recruitment Lead at Buzzart Software Pvt Ltd
Send InMail
The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code.
Responsibilities
Develop quality software and web applications
Analyze and maintain existing software applications
Design highly scalable, testable code
Discover and fix programming bugs

Qualifications
Bachelor's degree or equivalent experience in Computer Science or related field
Development experience with programming languages
SQL database or relational database skills"
Software Engineer,Talent Solutions,"Noida, Uttar Pradesh, India","Posted by
Ritesh Kumar Singh 2nd
Director at Talent Solutions
Send InMail
Java 8 , spring boot , micro services , AWS , mongo db, system architecture."
Data Scientist,Lenovo,"Bangalore Urban, Karnataka, India","Why Work at Lenovo

Here at Lenovo, we believe in smarter technology for all, so we spend our time building a society that’s brighter and more inclusive.

And we go big. No, not big—huge.

We’re not just a Fortune Global 500 company, we’re one of Fortune’s Most Admired. We’re in 180 markets, working with 63,000 brilliant colleagues and counting. And we’re known for the world’s most complete portfolio of smart technology, from devices to software to infrastructure.

With our ingenuity, we help millions—not just the select few—experience our version of a smarter future.

The one thing that’s missing? Well… you...

Description And Requirements

Job Description Motorola Mobility is one of the world’s fastest growing smartphone providers, creating groundbreaking, affordable, high-quality products designed and built with the global customer in mind. And it’s our people who make this all happen. We are thinkers, risk-takers and problem solvers, working together to constantly challenge the status quo.

If you share our commitment to ingenuity, creativity and innovation, we want you to help us define our world of tomorrow. - Lead the building & design of machine learning models, data architecture, and end-to-end pipelines to improve various aspects of service operations,

such as customer service, risk reduction, fraud, and device diagnosis - Work cross functionally with operations and engineering teams to define and collect data to solve business problems - Use machine learning state of the art techniques for feature engineering, anomaly detection, predictive and general model building - Communicate results in a comprehensive clear manner

Basic Qualifications: - 5+ years of industry experience building machine learning solutions from business ideas to products - Provide guidance and mentorship to software engineers, data scientists and interns - Analytical skills to root cause complex issues and provide possible solution(s) , document, and communicate to stakeholders - Understanding of advanced statistics and modern machine learning techniques (e.g. classification, clustering, NLP, optimization, neural network) - Ability to communicate clearly with technical and non-technical audiences, globally Preferred Qualifications: - Data engineering experience (e.g. Spark, Hive) - Experience productionizing real-time machine learning solutions
BANGALORE - Karnataka - India"
Software Developer -Autosar,Integrated Product Engineering and Digital Technologies solutions provider for the automotive market,"Pune, Maharashtra, India","Posted by
sunanda rao
Recruitment Services & Consulting Professional
Send InMail"
Software Engineer,SKYLARK HR SOLUTIONS Pvt Ltd,"Bengaluru, Karnataka, India","Posted by
Dhanya Benjemin 2nd
Human Resources Recruiter at SKYLARK HR SOLUTIONS Pvt Ltd
Send InMail
Hiring-Software Developer(Node.js)-Chennai/Bangalore
Experience: 2 - 15 Y
Salary: 5 - 23 LPA
Notice Period: immediate to 15 days
Skill:MongoDB,Express.js,Typescript,AWS/Azure,TDD,Agile
If interested, share CV to jobs@skylarkhr.in Mention (Hi Dhanya)
Regards,
HR Dhanya
7845971307"
